,continent,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,positive_rate,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,human_development_index
196,North America,Aruba,3934.0,62.0,26.0,1.0,36846.936,580.7090000000001,243.523,9.366,0.0,106766.0,41.2,13.085,7.452000000000001,35973.781,0.0,11.62,0.0,0.0,76.29,0.0
471,Asia,Afghanistan,39254.0,15.0,1458.0,2.0,1008.3660000000001,0.385,37.453,0.051,0.0,38928341.0,18.6,2.5810000000000004,1.337,1803.987,597.029,9.59,0.0,0.0,64.83,0.498
664,Africa,Angola,4905.0,108.0,179.0,3.0,149.241,3.286,5.446000000000001,0.091,0.0,32866268.0,16.8,2.405,1.3619999999999999,5819.495,276.045,3.94,0.0,0.0,61.15,0.581
852,North America,Anguilla,3.0,0.0,0.0,0.0,199.97299999999998,0.0,0.0,0.0,0.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0
1058,Europe,Albania,13518.0,127.0,384.0,4.0,4697.338,44.131,133.435,1.39,0.0,2877800.0,38.0,13.187999999999999,8.642999999999999,11803.431,304.195,10.08,7.1,51.2,78.57,0.785
1265,Europe,Andorra,1966.0,0.0,53.0,0.0,25444.897,0.0,685.951,0.0,0.0,77265.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,83.73,0.858
1540,Asia,United Arab Emirates,93090.0,995.0,416.0,3.0,9412.157,100.603,42.06100000000001,0.303,0.0,9890400.0,34.0,1.1440000000000001,0.526,67293.483,317.84,17.26,1.2,37.4,77.97,0.863
1773,South America,Argentina,736596.0,13477.0,16519.0,406.0,16297.893999999998,298.192,365.499,8.982999999999999,0.0,45195777.0,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,76.67,0.825
2048,Asia,Armenia,49901.0,327.0,958.0,1.0,16840.047,110.352,323.295,0.337,0.0,2963234.0,35.7,11.232000000000001,7.571000000000001,8787.58,341.01,7.11,1.5,52.1,75.09,0.755
2243,North America,Antigua and Barbuda,101.0,0.0,3.0,0.0,1031.37,0.0,30.635,0.0,0.0,97928.0,32.1,6.933,4.631,21490.943,191.511,13.17,0.0,0.0,77.02,0.78
2518,Oceania,Australia,27063.0,19.0,882.0,7.0,1061.299,0.745,34.588,0.275,0.0,25499881.0,37.9,15.504000000000001,10.129,44648.71,107.791,5.07,13.0,16.5,83.44,0.9390000000000001
2793,Europe,Austria,44607.0,722.0,796.0,6.0,4952.811,80.165,88.382,0.6659999999999999,0.037000000000000005,9006400.0,44.4,19.202,13.748,45436.685999999994,145.183,6.35,28.4,30.9,81.54,0.9079999999999999
3068,Asia,Azerbaijan,40119.0,58.0,590.0,2.0,3956.8309999999997,5.72,58.19,0.19699999999999998,0.0,10139175.0,32.4,6.018,3.8710000000000004,15847.419,559.812,7.11,0.3,42.5,73.0,0.757
3251,Africa,Burundi,506.0,4.0,1.0,0.0,42.553999999999995,0.336,0.084,0.0,0.0,11890781.0,17.5,2.562,1.504,702.225,293.068,6.05,0.0,0.0,61.58,0.41700000000000004
3526,Europe,Belgium,117021.0,15.0,10001.0,0.0,10097.056,1.294,862.928,0.0,0.0,11589616.0,41.8,18.570999999999998,12.849,42658.575999999994,114.898,4.29,25.1,31.4,81.63,0.9159999999999999
3724,Africa,Benin,2340.0,0.0,40.0,0.0,193.018,0.0,3.299,0.0,0.0,12123198.0,18.8,3.2439999999999998,1.942,2064.236,235.84799999999998,0.99,0.6,12.3,61.77,0.515
3906,North America,Bonaire Sint Eustatius and Saba,106.0,0.0,1.0,0.0,4042.5609999999997,0.0,38.137,0.0,0.0,26221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.79,0.0
4108,Africa,Burkina Faso,2032.0,4.0,58.0,1.0,97.21,0.191,2.775,0.048,0.0,20903278.0,17.6,2.4090000000000003,1.358,1703.102,269.048,2.42,1.6,23.9,61.58,0.423
4319,Asia,Bangladesh,362043.0,1488.0,5219.0,26.0,2198.3379999999997,9.035,31.69,0.158,0.0,164689383.0,27.5,5.098,3.262,3523.9840000000004,298.003,8.38,1.0,44.7,72.59,0.608
4524,Europe,Bulgaria,20547.0,276.0,814.0,7.0,2957.0640000000003,39.721,117.149,1.0070000000000001,0.056,6948445.0,44.7,20.801,13.272,18563.307,424.68800000000005,5.81,30.1,44.4,75.05,0.813
4799,Asia,Bahrain,70422.0,574.0,246.0,1.0,41386.168,337.333,144.571,0.588,0.063,1701583.0,32.4,2.372,1.3869999999999998,43290.705,151.689,16.52,5.8,37.6,77.29,0.846
4996,North America,Bahamas,3903.0,65.0,91.0,2.0,9925.035,165.29,231.40599999999998,5.086,0.0,393248.0,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,73.92,0.807
5200,Europe,Bosnia and Herzegovina,27222.0,225.0,836.0,14.0,8297.329,68.581,254.815,4.2669999999999995,0.0,3280815.0,42.5,16.569000000000003,10.710999999999999,11713.895,329.635,10.08,30.2,47.7,77.4,0.768
5475,Europe,Belarus,78260.0,314.0,828.0,6.0,8282.077,33.23,87.625,0.635,0.0,9449321.0,40.3,14.799000000000001,9.788,17167.967,443.129,5.18,10.5,46.1,74.79,0.8079999999999999
5666,North America,Belize,1943.0,52.0,26.0,2.0,4886.563,130.778,65.389,5.03,0.0,397621.0,25.0,3.853,2.279,7824.361999999999,176.957,17.11,0.0,0.0,74.62,0.708
5861,North America,Bermuda,181.0,0.0,9.0,0.0,2906.5570000000002,0.0,144.525,0.0,0.0,62273.0,0.0,0.0,0.0,50669.315,139.547,13.0,0.0,0.0,82.59,0.0
6064,South America,Bolivia,134641.0,333.0,7931.0,31.0,11534.367,28.526999999999997,679.429,2.656,0.0,11673029.0,25.4,6.704,4.393,6885.829000000001,204.299,6.89,0.0,0.0,71.51,0.693
6339,South America,Brazil,4777522.0,32058.0,142921.0,863.0,22476.173,150.819,672.3810000000001,4.06,0.0,212559409.0,33.5,8.552,5.06,14103.452,177.96099999999998,8.11,10.1,17.9,75.88,0.759
6536,North America,Barbados,190.0,0.0,7.0,0.0,661.166,0.0,24.359,0.0,0.0,287371.0,39.8,14.952,9.472999999999999,16978.068,170.05,13.57,1.9,14.5,79.19,0.8
6740,Asia,Brunei,146.0,0.0,3.0,0.0,333.727,0.0,6.857,0.0,0.0,437483.0,32.4,4.591,2.3819999999999997,71809.25099999999,201.285,12.79,2.0,30.9,75.86,0.853
6944,Asia,Bhutan,281.0,1.0,0.0,0.0,364.173,1.296,0.0,0.0,0.0,771612.0,28.6,4.885,2.977,8708.597,217.06599999999997,9.75,0.0,0.0,71.78,0.612
7127,Africa,Botswana,3172.0,0.0,16.0,0.0,1348.855,0.0,6.803999999999999,0.0,0.0,2351625.0,25.8,3.9410000000000003,2.242,15807.374,237.372,4.81,5.7,34.4,69.59,0.7170000000000001
7326,Africa,Central African Republic,4825.0,19.0,62.0,0.0,999.0139999999999,3.9339999999999997,12.837,0.0,0.0,4829764.0,18.3,3.655,2.251,661.24,435.727,6.1,0.0,0.0,53.28,0.36700000000000005
7601,North America,Canada,156961.0,1660.0,9291.0,13.0,4158.771,43.983000000000004,246.17,0.344,0.02,37742157.0,41.4,16.984,10.797,44017.59099999999,105.59899999999999,7.37,12.0,16.6,82.43,0.9259999999999999
7876,Europe,Switzerland,52751.0,223.0,1781.0,2.0,6095.1269999999995,25.767,205.78599999999997,0.231,0.0,8654618.0,43.1,18.436,12.644,57410.166,99.73899999999999,5.59,22.6,28.9,83.78,0.9440000000000001
8086,South America,Chile,461300.0,1629.0,12725.0,27.0,24131.354,85.21600000000001,665.665,1.412,0.0,19116209.0,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,80.18,0.843
8361,Asia,China,90528.0,23.0,4739.0,0.0,62.896,0.016,3.293,0.0,0.0,1439323774.0,38.7,10.640999999999998,5.928999999999999,15308.712,261.899,9.74,1.9,48.4,76.91,0.752
8562,Africa,Cote d'Ivoire,19669.0,28.0,120.0,0.0,745.6510000000001,1.061,4.5489999999999995,0.0,0.0,26378275.0,18.7,2.9330000000000003,1.5819999999999999,3601.006,303.74,2.42,0.0,0.0,57.78,0.49200000000000005
8766,Africa,Cameroon,20838.0,0.0,418.0,0.0,784.9810000000001,0.0,15.745999999999999,0.0,0.0,26545864.0,18.8,3.165,1.919,3364.926,244.66099999999997,7.2,0.0,0.0,59.29,0.556
8968,Africa,Democratic Republic of Congo,10630.0,6.0,271.0,0.0,118.69,0.067,3.0260000000000002,0.0,0.0,89561404.0,17.0,3.02,1.745,808.133,318.949,6.1,0.0,0.0,60.68,0.457
9167,Africa,Congo,5089.0,0.0,89.0,0.0,922.2389999999999,0.0,16.129,0.0,0.0,5518092.0,19.0,3.4019999999999997,2.063,4881.406,344.094,7.2,1.7,52.3,64.57,0.606
9377,South America,Colombia,824042.0,5839.0,25828.0,187.0,16194.876,114.75399999999999,507.597,3.675,0.0,50882884.0,32.2,7.646,4.312,13254.948999999999,124.24,7.44,4.7,13.5,77.29,0.747
9529,Africa,Comoros,479.0,1.0,7.0,0.0,550.831,1.15,8.05,0.0,0.0,869595.0,20.4,2.963,1.726,1413.89,261.51599999999996,11.88,4.4,23.6,64.32,0.503
9723,Africa,Cape Verde,5900.0,83.0,59.0,0.0,10611.74,149.284,106.117,0.0,0.0,555988.0,25.7,4.46,3.437,6222.554,182.21900000000002,2.42,2.1,16.5,72.98,0.654
9930,North America,Costa Rica,74604.0,890.0,880.0,19.0,14645.138,174.71099999999998,172.748,3.73,0.0,5094114.0,33.6,9.468,5.694,15524.995,137.97299999999998,8.78,6.4,17.4,80.28,0.794
10130,North America,Cuba,5531.0,48.0,122.0,0.0,488.319,4.238,10.770999999999999,0.0,0.0,11326616.0,43.1,14.738,9.719,0.0,190.968,8.27,17.1,53.3,78.8,0.777
10327,North America,Curacao,370.0,6.0,1.0,0.0,2254.723,36.563,6.093999999999999,0.0,0.0,164100.0,41.7,16.367,10.068,0.0,0.0,11.62,0.0,0.0,78.88,0.0
10522,North America,Cayman Islands,211.0,0.0,1.0,0.0,3210.59,0.0,15.216,0.0,0.0,65720.0,0.0,0.0,0.0,49903.029,0.0,13.22,0.0,0.0,83.92,0.0
10725,Europe,Cyprus,1713.0,17.0,22.0,0.0,1955.705,19.409000000000002,25.116999999999997,0.0,0.0,875899.0,37.3,13.415999999999999,8.562999999999999,32415.132,141.171,9.24,19.6,52.7,80.98,0.8690000000000001
11000,Europe,Czech Republic,67843.0,1960.0,636.0,18.0,6335.149,183.024,59.388999999999996,1.681,0.0,10708982.0,43.3,19.027,11.58,32605.906000000003,227.485,6.82,30.5,38.3,79.38,0.888
11275,Europe,Germany,289219.0,1798.0,9488.0,17.0,3451.962,21.46,113.244,0.203,0.0,83783945.0,46.6,21.453000000000003,15.957,45229.245,156.139,8.31,28.2,33.1,81.33,0.9359999999999999
11471,Africa,Djibouti,5416.0,6.0,61.0,0.0,5481.77,6.0729999999999995,61.74100000000001,0.0,0.0,988002.0,25.4,4.213,2.38,2705.406,258.03700000000003,6.05,1.7,24.5,67.11,0.47600000000000003
11663,North America,Dominica,24.0,0.0,0.0,0.0,333.375,0.0,0.0,0.0,0.0,71991.0,0.0,0.0,0.0,9673.367,227.37599999999998,11.62,0.0,0.0,75.0,0.715
11938,Europe,Denmark,27464.0,392.0,650.0,1.0,4741.5470000000005,67.67699999999999,112.22,0.17300000000000001,0.0,5792203.0,42.3,19.677,12.325,46682.515,114.76700000000001,6.41,19.3,18.8,80.9,0.929
12213,North America,Dominican Republic,111900.0,234.0,2101.0,3.0,10315.357,21.570999999999998,193.678,0.27699999999999997,0.0,10847904.0,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,74.08,0.736
12488,Africa,Algeria,51368.0,155.0,1726.0,7.0,1171.42,3.535,39.361,0.16,0.0,43851043.0,29.1,6.211,3.8569999999999998,13913.839,278.36400000000003,6.73,0.7,30.4,76.88,0.754
12763,South America,Ecuador,135749.0,784.0,11312.0,32.0,7694.187,44.437,641.159,1.814,0.0,17643060.0,28.1,7.104,4.458,10581.936000000002,140.44799999999998,5.55,2.0,12.3,77.01,0.752
13038,Africa,Egypt,103079.0,124.0,5914.0,13.0,1007.2760000000001,1.212,57.791000000000004,0.127,0.0,102334403.0,25.3,5.159,2.891,10550.206,525.432,17.31,0.2,50.1,71.99,0.696
13231,Africa,Eritrea,375.0,0.0,0.0,0.0,105.74,0.0,0.0,0.0,0.0,3546427.0,19.3,3.6069999999999998,2.171,1510.4589999999998,311.11,6.05,0.2,11.4,66.32,0.44
13389,Africa,Western Sahara,766.0,0.0,1.0,0.0,1282.373,0.0,1.6740000000000002,0.0,0.0,597330.0,28.4,0.0,1.38,0.0,0.0,0.0,0.0,0.0,70.26,0.0
13663,Europe,Spain,758172.0,9906.0,31614.0,203.0,16215.923999999999,211.87099999999998,676.166,4.342,0.0,46754783.0,45.5,19.436,13.799000000000001,34272.36,99.40299999999999,7.17,27.4,31.4,83.56,0.8909999999999999
13938,Europe,Estonia,3315.0,48.0,64.0,0.0,2498.984,36.184,48.246,0.0,0.0,1326539.0,42.7,19.452,13.491,29481.252,255.56900000000002,4.02,24.5,39.3,78.74,0.871
14140,Africa,Ethiopia,74584.0,640.0,1191.0,14.0,648.762,5.567,10.36,0.122,0.0,114963583.0,19.8,3.5260000000000002,2.063,1729.9270000000001,182.63400000000001,7.47,0.4,8.5,66.6,0.46299999999999997
14415,Europe,Finland,9892.0,158.0,345.0,0.0,1785.328,28.516,62.266000000000005,0.0,0.0,5540718.0,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,18.3,22.6,81.91,0.92
14660,Oceania,Fiji,32.0,0.0,2.0,0.0,35.696999999999996,0.0,2.231,0.0,0.0,896444.0,28.6,6.224,3.284,8702.975,412.82,14.49,10.2,34.8,67.44,0.741
14840,South America,Falkland Islands,13.0,0.0,0.0,0.0,3732.415,0.0,0.0,0.0,0.0,3483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.44,0.0
15115,Europe,France,550690.0,8051.0,31893.0,85.0,8436.653,123.34299999999999,488.606,1.3019999999999998,0.0,65273512.0,42.0,19.718,13.079,38605.671,86.06,4.77,30.1,35.6,82.66,0.9009999999999999
15324,Europe,Faeroe Islands,463.0,3.0,0.0,0.0,9475.084,61.394,0.0,0.0,0.0,48865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.67,0.0
15525,Africa,Gabon,8752.0,0.0,54.0,0.0,3932.197,0.0,24.261999999999997,0.0,0.0,2225728.0,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,0.0,0.0,66.47,0.7020000000000001
15800,Europe,United Kingdom,446156.0,7143.0,42072.0,71.0,6572.135,105.221,619.745,1.046,0.0,67886004.0,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,81.32,0.922
16075,Asia,Georgia,5866.0,0.0,33.0,0.0,1470.479,0.0,8.272,0.0,0.0,3989175.0,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,5.3,55.5,73.77,0.78
16270,Europe,Guernsey,256.0,0.0,13.0,0.0,3817.9320000000002,0.0,193.87900000000002,0.0,0.0,67052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16471,Africa,Ghana,46482.0,0.0,301.0,0.0,1495.899,0.0,9.687000000000001,0.0,0.0,31072945.0,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,64.07,0.5920000000000001
16666,Europe,Gibraltar,391.0,9.0,0.0,0.0,11605.473,267.134,0.0,0.0,0.0,33691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.93,0.0
16866,Africa,Guinea,10634.0,36.0,66.0,0.0,809.7289999999999,2.741,5.026,0.0,0.0,13132792.0,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,0.0,0.0,61.6,0.45899999999999996
17063,Africa,Gambia,3579.0,10.0,112.0,1.0,1480.967,4.138,46.345,0.414,0.0,2416664.0,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,0.7,31.2,62.05,0.46
17251,Africa,Guinea-Bissau,2324.0,0.0,39.0,0.0,1180.896,0.0,19.817,0.0,0.0,1967998.0,19.4,3.002,1.565,1548.675,382.474,2.42,0.0,0.0,58.32,0.455
17451,Africa,Equatorial Guinea,5030.0,2.0,83.0,0.0,3585.2129999999997,1.426,59.16,0.0,0.0,1402985.0,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,0.0,0.0,58.74,0.591
17726,Europe,Greece,18123.0,416.0,388.0,5.0,1738.741,39.912,37.225,0.48,0.0,10423056.0,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,82.24,0.87
17918,North America,Grenada,24.0,0.0,0.0,0.0,213.297,0.0,0.0,0.0,0.0,112519.0,29.4,7.303999999999999,5.021,13593.877,243.96400000000003,10.71,0.0,0.0,72.4,0.772
18113,North America,Greenland,14.0,0.0,0.0,0.0,246.6,0.0,0.0,0.0,0.0,56772.0,0.0,0.0,0.0,0.0,199.94099999999997,2.16,0.0,0.0,71.7,0.0
18313,North America,Guatemala,90968.0,705.0,3238.0,4.0,5077.595,39.351,180.737,0.223,0.0,17915567.0,22.9,4.694,3.016,7423.808000000001,155.898,10.18,0.0,0.0,74.3,0.65
18509,Oceania,Guam,2443.0,53.0,47.0,1.0,14474.207,314.013,278.464,5.925,0.0,168783.0,31.4,9.551,5.492999999999999,0.0,310.496,21.52,0.0,0.0,80.07,0.0
18709,South America,Guyana,2846.0,59.0,78.0,0.0,3618.292,75.01,99.166,0.0,0.0,786559.0,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,0.0,0.0,69.91,0.654
18732,Asia,Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7496988.0,44.8,16.303,10.158,56054.92,0.0,8.33,0.0,0.0,84.86,0.9329999999999999
18933,North America,Honduras,76098.0,561.0,2323.0,22.0,7683.090999999999,56.64,234.537,2.221,0.0,9904608.0,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,0.0,75.27,0.617
19208,Europe,Croatia,16380.0,135.0,275.0,3.0,3989.995,32.885,66.987,0.731,0.037000000000000005,4105268.0,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,78.49,0.831
19403,North America,Haiti,8740.0,0.0,227.0,0.0,766.4960000000001,0.0,19.908,0.0,0.0,11402533.0,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,2.9,23.1,64.0,0.498
19614,Europe,Hungary,26461.0,894.0,765.0,8.0,2739.135,92.54299999999999,79.19,0.828,0.086,9660350.0,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,76.88,0.838
19889,Asia,Indonesia,282724.0,4002.0,10601.0,128.0,1033.637,14.630999999999998,38.757,0.46799999999999997,0.0,273523621.0,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,2.8,76.1,71.72,0.6940000000000001
20083,Europe,Isle of Man,340.0,0.0,24.0,0.0,3998.495,0.0,282.247,0.0,0.0,85032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0
20358,Asia,India,6225763.0,80472.0,97497.0,1179.0,4511.407999999999,58.313,70.65,0.8540000000000001,0.0,1380004385.0,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,69.66,0.64
20633,Europe,Ireland,35740.0,362.0,1803.0,1.0,7238.047,73.312,365.14300000000003,0.203,0.0,4937796.0,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,82.3,0.938
20908,Asia,Iran,453637.0,3677.0,25986.0,207.0,5400.894,43.777,309.383,2.464,0.0,83992953.0,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,76.68,0.7979999999999999
21183,Asia,Iraq,358290.0,4724.0,9122.0,70.0,8907.7,117.447,226.78799999999998,1.74,0.0,40222503.0,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,0.0,0.0,70.6,0.685
21458,Europe,Iceland,2695.0,32.0,10.0,0.0,7897.436,93.773,29.304000000000002,0.0,0.0,341250.0,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,82.99,0.935
21733,Asia,Israel,236926.0,3661.0,1528.0,21.0,27372.755,422.966,176.53400000000002,2.426,0.0,8655541.0,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,82.97,0.903
22008,Europe,Italy,313011.0,1647.0,35875.0,24.0,5177.002,27.24,593.35,0.397,0.0,60461828.0,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,83.51,0.88
22210,North America,Jamaica,6382.0,239.0,100.0,7.0,2155.236,80.712,33.771,2.364,0.0,2961161.0,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,74.47,0.732
22405,Europe,Jersey,409.0,1.0,32.0,0.0,4046.58,9.894,316.603,0.0,0.0,101073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22613,Asia,Jordan,10049.0,823.0,57.0,6.0,984.893,80.661,5.587000000000001,0.588,0.0,10203140.0,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,0.0,0.0,74.53,0.735
22888,Asia,Japan,83010.0,516.0,1564.0,7.0,656.328,4.08,12.366,0.055,0.0,126476458.0,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,84.63,0.909
23090,Asia,Kazakhstan,140707.0,374.0,2078.0,28.0,7493.7,19.918,110.669,1.4909999999999999,0.0,18776707.0,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,73.6,0.8
23299,Africa,Kenya,38378.0,210.0,707.0,7.0,713.7260000000001,3.905,13.148,0.13,0.0,53771300.0,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,1.2,20.4,66.7,0.59
